0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:02 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:02 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:03 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:04 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:04 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:04 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:04 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:08 -0300] "PUT /ProjetoTrilhaWeb/rest/marca/ativaMarca/152 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:08 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:08 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [04/Aug/2021:20:24:08 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
