0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
